,Unnamed: 0,text,label,language
208129,208129,sebenernya pacar gue idiot,1.0,13
208130,208130,sebenernya gw ogah temenan ama lu rl rp nnga anjing gw canda jan nang wkwk gatau lu orang bikin gw banyak bacot udah si ae wkwk,1.0,13
208131,208131,calon gubernur bal nomor urut ida bagus rai dharmawijaya mantramengisi jadwal kampanye gelar simakrama jumlah titik taban senin mantrakerta,0.0,13
208132,208132,ayo gelora gantipresiden insya allah sejahtera rata komunis lenyap,0.0,13
208133,208133,user mahasiswa koplakcuma modus rakyat indonesia jutabukan orangsontoloyo,1.0,13
208134,208134,user ulama cebong wajah suram,1.0,13
208135,208135,user user bijak cuma tugas jajar krl doang tumpang cuma followers doang xexxbxefxbxf nyuruh orng utk erti sendiri ga mau erti butuh banyak orng kan bangke,1.0,13
208136,208136,gambar masakan tayahla pki filter doo asam pedas pn da nmpk mcm curry xfxfxx nasib baik aku bc caption xfxfxxa,0.0,13
208137,208137,user pilih d gak nista agama cuma teman koruptor tentu korup,0.0,13
208138,208138,seoul kini jadi salah satu destinasi favorit asia budaya unik hallyu korean wave jadi faktor utama buat seoul banjir traveler nah buat kamu mau jelajah korea intip dulu seru dapat kamu laku seo,0.0,13
208139,208139,user user user user user user user user user user user bakal alot keluar sertifikat halal komponen mikro yg tengara sentuh asal babi telah alami dekomposisi molekular bahkan atomik cap haram najis yg sama sekali alami proses dekomposisi molekular bakal rame nih,0.0,13
208140,208140,user dulu pakai aparat dgn mantra anti bangun komunis,0.0,13
208141,208141,user user sontoloyo emang jakarta nih,1.0,13
208142,208142,user user user user user hahahaha roti buaya mah buat nikah pak,0.0,13
208143,208143,belisahambrisyariah uym iya juga bilang ke bbrp kwn pertamaya aja dg bagai cara bagai pintu masuk beli sahambrisyariah ga dapet jamaah jadi ga bcr historis ga bcr sejarah mana juga bcr sta,0.0,13
208144,208144,user user lp ayah kan dah mati bom bunuh diri sbykamu jgn linglung,0.0,13
208145,208145,jaga sehat pikir logika benar gantipresiden,0.0,13
208146,208146,user user user yg ideal sih tp tdk tutup buat si jd presiden dunia khayal,0.0,13
208147,208147,polemik mui jangan serang ulama kh bachtiar nasir,0.0,13
208148,208148,user bagus anjir buat lockscreenxexdxa,1.0,13
208149,208149,user kaya tai,1.0,13
208150,208150,pak presiden user tampak magis,0.0,13
208151,208151,perintah gus ipul puti depan kuat program nawacita presiden jokowi jawa timur rakyatbrsamajkw,0.0,13
208152,208152,bagus kalau gak bukti lapor balik user jelasjelas bahas panjang potong akbar faizal beda fiksi fiktif gak,0.0,13
208153,208153,butuh memek hubung rp haneul dekat,1.0,13
208154,208154,mbah fatwa kalo ngomong asu ndak papa asal jangan ikut kata kamu nama orang okesip asu,1.0,13
208155,208155,user user user user user user lebih tolol lg yg nulis kek gin xfxfxxbxfxfxxbxfxfxxbxfxfxxbxfxfxx,1.0,13
208156,208156,ooo ganti libur lebaran ubah sama aja pasca lebaran nya rang masa hari senin balik tgl hari jalan kalo ga macet tgl sama aja bego h bakal tumpuk presiden bego,1.0,13
